client_id,total_transactions,total_spent,avg_transaction,largest_transaction,current_age,gender,yearly_income,total_debt,num_credit_cards,description
47,11153,321807.32,28.853879673630413,1072.39,47,Male,$25434,$45540,4,Upholstery and Drapery Stores
48,7860,262495.97,33.39643384223918,582.81,69,Male,$16542,$36831,3,Miscellaneous Metal Fabrication
50,6812,258785.53,37.989655020551965,761.61,68,Female,$39238,$85457,4,Hospitals
51,8335,396436.35,47.56284943011397,2172.44,29,Female,$51303,$106248,3,Cruise Lines
52,20949,1535007.8,73.27355959711682,1340.33,56,Female,$63796,$82173,3,Hospitals
53,23922,723073.38,30.226292952094308,1208.49,49,Female,$39700,$59062,3,Hospitals
55,13943,294372.93,21.11259628487413,1093.59,61,Female,$44583,$85531,5,Hospitals
57,10679,436908.16,40.912834535068825,1428.21,28,Female,$43826,$84935,1,"Tools, Parts, Supplies Manufacturing"
58,6635,361561.45,54.49305953278071,1713.08,38,Female,$52512,$95640,2,Pottery and Ceramics
59,11606,329980.34,28.43187489229709,1320.31,85,Female,$25066,$424,7,"Brick, Stone, and Related Materials"
60,10233,612451.4,59.850620541385716,1558.42,47,Female,$34057,$59247,4,Cruise Lines
61,12112,759927.53,62.741704920739764,1985.79,44,Female,$93406,$151935,3,Upholstery and Drapery Stores
62,13263,400911.12,30.22778556887582,1011.39,78,Female,$22290,$9235,6,Steel Drums and Barrels
63,15536,323080.49,20.795603115345006,1033.39,40,Male,$35418,$51741,6,Leather Goods
64,9068,551051.88,60.768844287604765,1449.29,39,Female,$51465,$0,2,"Bolt, Nut, Screw, Rivet Manufacturing"
65,8778,330165.3,37.61281613123718,900.08,51,Female,$34517,$74143,2,"Tools, Parts, Supplies Manufacturing"
68,11902,690373.45,58.0048269198454,814.78,42,Male,$41997,$0,3,Airlines
69,8470,254312.16,30.025048406139316,1456.18,54,Female,$38318,$93284,6,Cruise Lines
73,6651,521226.27,78.36810554803789,1497.64,48,Male,$53478,$73030,3,Miscellaneous Metal Fabrication
74,4636,215669.21,46.52053710094909,1186.98,54,Female,$41957,$151027,3,Hospitals
75,10325,417782.22,40.46316900726392,1439.57,80,Female,$22326,$1620,4,Airlines
77,13722,1009335.14,73.55597872030316,1330.64,99,Female,$51110,$3781,8,Upholstery and Drapery Stores
78,8421,196979.65,23.391479634247712,485.0,37,Male,$25205,$65179,1,Computer Network Services
79,6647,303823.12,45.70830750714608,965.55,70,Female,$29164,$19851,4,Hospitals
80,7469,238966.11,31.994391484803852,1150.1,82,Female,$21815,$1597,5,"Tools, Parts, Supplies Manufacturing"
81,14555,598053.84,41.08923668842322,925.14,66,Female,$35560,$60397,5,Miscellaneous Fabricated Metal Products
84,13829,424057.93,30.66439583483983,1032.9,47,Male,$25748,$41455,3,Hospitals
86,4187,132197.25,31.57326247910198,733.47,24,Male,$23212,$25138,3,Hospitals
87,12235,357103.01,29.187005312627708,703.8,58,Male,$24155,$2870,3,Hospitals
89,12884,405664.54,31.485915864638308,990.16,35,Male,$30217,$23394,4,Travel Agencies
90,9407,535593.57,56.93564048049324,1275.17,63,Male,$12796,$22192,3,Leather Goods
92,11876,349144.15,29.399136914786126,944.68,76,Female,$31145,$5132,4,Towing Services
94,13160,473154.08,35.95395744680851,1034.68,59,Female,$36760,$95755,2,Hospitals
96,38617,2445773.25,63.33410803532123,4729.38,69,Female,$99825,$4344,4,Cruise Lines
98,20100,751643.62,37.39520497512438,1910.89,80,Female,$16646,$1639,2,Travel Agencies
100,7070,406748.36,57.53159264497878,1639.74,56,Male,$48944,$79960,7,Steelworks
103,4794,254827.48,53.15550271172299,1386.36,41,Female,$34774,$78060,5,Cruise Lines
104,7469,383555.23,51.35295621903869,760.53,33,Female,$37384,$49182,3,Travel Agencies
106,13353,280856.86,21.033240470306296,826.89,52,Male,$29957,$60321,5,Hospitals
107,3976,173010.19,43.513629275653926,577.36,50,Male,$26758,$41064,5,Hospitals
110,5901,410083.13,69.493836637858,1531.91,52,Female,$52186,$42852,4,Cruise Lines
112,28875,962694.41,33.34006614718615,864.57,54,Female,$35114,$24637,5,Travel Agencies
113,5671,478686.97,84.40962264150943,1095.39,74,Female,$39003,$10793,5,Airlines
114,40286,942205.88,23.38792334806136,1093.52,47,Female,$34441,$907,4,Leather Goods
115,8625,698388.37,80.97256463768116,1587.15,61,Male,$101018,$78115,6,Hospitals
116,8216,391584.71,47.66123539435249,1473.62,31,Male,$67230,$45269,2,Wholesale Clubs
118,6199,311930.06,50.31941603484433,1211.17,56,Female,$31533,$42315,3,Hospitals
119,7530,381558.25,50.671746347941564,1485.86,44,Female,$56605,$87970,3,Floor Covering Stores
120,4883,393820.05,80.65124923202949,1396.22,50,Female,$61008,$0,4,"Brick, Stone, and Related Materials"
121,10392,511509.82,49.22149923017706,1200.24,34,Female,$45419,$124370,3,Miscellaneous Metals
122,10678,392598.15,36.76701161266155,1001.17,65,Female,$39221,$45409,4,"Bolt, Nut, Screw, Rivet Manufacturing"
123,11492,310999.18,27.062232857640097,1200.77,43,Female,$36315,$0,3,"Tools, Parts, Supplies Manufacturing"
124,8811,213495.87,24.23060606060606,1374.79,31,Female,$34311,$6971,4,Hospitals
125,6269,169581.79,27.050851810496095,958.61,64,Female,$26535,$93592,5,Hospitals
126,11103,231926.72,20.88865351706746,613.24,63,Male,$26600,$0,4,Pottery and Ceramics
127,10783,752158.53,69.75410646387833,1086.69,48,Male,$31553,$63938,3,Leather Goods
128,7962,323832.98,40.67231600100477,1491.92,40,Female,$31377,$59615,2,Cruise Lines
132,3993,149727.28,37.497440520911596,617.74,77,Female,$31555,$12777,4,"Brick, Stone, and Related Materials"
133,8861,450394.24,50.82882744611218,1367.49,31,Female,$62692,$50290,2,Airlines
134,6305,361988.3,57.41289452815226,1265.24,43,Male,$50174,$145300,4,"Furniture, Home Furnishings, and Equipment Stores"
135,15476,739195.27,47.763974541225124,1354.53,64,Female,$38088,$51679,2,Travel Agencies
137,18091,942226.18,52.08259244928418,751.31,33,Female,$41069,$64073,3,"Bolt, Nut, Screw, Rivet Manufacturing"
138,8788,307583.5,35.000398270368684,2057.53,43,Female,$32770,$103262,4,Cruise Lines
140,10874,287147.67,26.406811660842376,1075.18,37,Female,$42120,$72801,4,Steel Products Manufacturing
141,10405,375622.49,36.10019125420471,1389.95,70,Male,$23082,$23406,5,Leather Goods
142,12580,793024.54,63.03851669316376,2451.93,59,Female,$51788,$77642,2,Steelworks
144,13989,456982.36,32.66726427907641,725.14,44,Female,$32330,$97190,4,"Tools, Parts, Supplies Manufacturing"
145,6609,141268.35,21.375147526100772,1442.63,58,Female,$25334,$182,3,"Furniture, Home Furnishings, and Equipment Stores"
146,7564,432088.67,57.1243614489688,1416.76,47,Female,$68710,$201796,3,Travel Agencies
147,6968,351899.9,50.50228185993112,1395.34,30,Male,$56383,$130152,4,Hospitals
148,11101,389935.97,35.12620214395099,860.36,62,Male,$38681,$113190,5,Fabricated Structural Metal Products
149,4007,278644.85,69.53951834289992,1508.74,24,Female,$91237,$231619,1,Steel Products Manufacturing
150,11197,684216.69,61.10714387782441,1667.84,51,Female,$71490,$0,3,Hospitals
152,9009,819874.69,91.00618159618159,1543.05,37,Female,$49335,$51520,3,Leather Goods
153,4295,246049.42,57.28740861466822,908.75,76,Female,$27484,$16803,4,"Tools, Parts, Supplies Manufacturing"
154,18444,625853.05,33.932609520711345,932.94,48,Male,$37468,$73448,3,"Tools, Parts, Supplies Manufacturing"
155,8397,180201.32,21.460202453257118,524.28,86,Female,$9678,$812,6,Department Stores
156,13663,295733.18,21.644820317646197,954.23,36,Female,$28007,$0,4,"Tools, Parts, Supplies Manufacturing"
157,11451,452789.81,39.54150816522574,1016.8,47,Male,$32847,$3230,3,Steelworks
160,5495,185353.06,33.731221110100094,731.51,44,Male,$37965,$69614,3,Pottery and Ceramics
161,14423,394943.16,27.382871801982944,777.34,31,Male,$23469,$22976,3,Steelworks
162,7627,522103.26,68.45460338271928,3669.84,37,Male,$66111,$98102,5,Cruise Lines
164,8275,289690.03,35.00785861027191,1856.39,76,Male,$37829,$20185,4,Upholstery and Drapery Stores
165,13876,1245012.7,89.72417843759008,1837.67,34,Male,$107683,$225017,3,Music Stores - Musical Instruments
169,7658,105667.07,13.798259336641422,554.78,85,Male,$30451,$93,4,Hospitals
170,7726,388033.46,50.224367072223664,990.1,34,Male,$36983,$58895,4,Fabricated Structural Metal Products
171,17519,848275.91,48.420338489639825,1973.74,43,Female,$49577,$142314,3,Pottery and Ceramics
172,5162,232538.92,45.04822161952732,1066.05,47,Female,$45164,$0,3,Hospitals
173,10054,526559.53,52.373138054505674,1131.16,63,Female,$30399,$19404,4,Hospitals
176,14367,606807.57,42.23620588849446,1663.96,45,Female,$52172,$66085,4,Cruise Lines
177,9557,745400.93,77.99528408496391,1379.98,54,Female,$58248,$107130,4,Hospitals
178,10120,362032.61,35.7739733201581,1510.01,47,Female,$49045,$0,3,Steelworks
180,6198,228894.54,36.93038722168441,828.21,33,Female,$26556,$43042,2,Steelworks
184,6215,284601.62,45.792698310539016,657.96,50,Female,$43529,$126175,6,Floor Covering Stores
185,11721,349493.57,29.81772630321645,1243.24,47,Female,$30942,$71066,3,"Bolt, Nut, Screw, Rivet Manufacturing"
190,19179,1040156.97,54.234160800875955,3084.57,40,Male,$44452,$12409,5,Cruise Lines
194,14229,348640.2,24.502087286527516,1651.06,52,Male,$30681,$81680,4,Cruise Lines
196,5787,241375.72,41.7099913599447,1375.69,44,Female,$35775,$67263,1,"Brick, Stone, and Related Materials"
197,12274,512798.94,41.7792846667753,1019.77,32,Male,$32128,$58373,5,Travel Agencies
198,4939,302818.74,61.31175136667341,2684.86,49,Female,$31497,$30805,3,Cruise Lines
199,10144,428168.81,42.20907038643533,1464.5,67,Female,$78329,$40161,3,Pottery and Ceramics
200,10297,353308.46,34.311785957074875,836.04,57,Female,$36528,$109785,3,Travel Agencies
201,3823,170190.95,44.51764321213707,727.47,61,Male,$35823,$96691,3,Travel Agencies
203,5985,277694.43,46.39840100250626,1425.27,58,Female,$30305,$23392,3,Hospitals
205,9026,335124.78,37.12882561489032,1065.47,38,Male,$39882,$77817,4,Steelworks
206,5592,276835.85,49.50569563662374,1025.78,28,Female,$37583,$51633,2,Coated and Laminated Products
207,4875,216036.28,44.31513435897436,1296.6,73,Female,$28553,$19507,5,Steelworks
208,30474,1191648.34,39.1037717398438,1294.39,37,Female,$67747,$76650,3,Leather Goods
209,12899,341912.72,26.506916815256993,902.78,61,Female,$29206,$25966,6,"Doctors, Physicians"
211,12457,224224.04,17.999842658746086,745.64,43,Male,$28983,$36482,3,"Bolt, Nut, Screw, Rivet Manufacturing"
212,7696,187021.2,24.30109147609148,946.69,52,Male,$28137,$88482,6,Travel Agencies
213,10684,614314.12,57.4985136652939,1222.76,37,Female,$55172,$96779,3,Hospitals
216,5387,241571.49,44.843417486541675,1168.63,60,Female,$33178,$85620,3,Miscellaneous Metals
217,10766,381464.79,35.43236020806242,1045.85,42,Male,$31031,$21853,7,Travel Agencies
218,8603,287885.98,33.4634406602348,1073.09,59,Female,$34190,$39242,7,Steelworks
219,5528,134641.17,24.356217438494937,1242.75,47,Male,$22505,$27928,3,Cruise Lines
220,5073,339029.39,66.83015769761482,961.28,33,Female,$61846,$12525,4,Steel Products Manufacturing
222,5125,623746.39,121.70661268292683,2244.36,48,Female,$93417,$115916,3,Legal Services and Attorneys
225,8085,414013.94,51.20766110080396,872.11,32,Male,$40887,$50734,4,Steel Products Manufacturing
227,9562,657204.35,68.73084605731019,1556.36,48,Male,$82295,$1555,4,Wholesale Clubs
229,11262,454121.44,40.323338660983836,1403.4,35,Female,$59248,$173887,5,Department Stores
230,7004,259457.56,37.04419760137065,1225.48,39,Female,$35501,$78801,4,Cruise Lines
231,10012,373336.18,37.28887135437475,952.49,55,Female,$36270,$73779,5,Airlines
233,6132,442724.58,72.19905088062623,1308.86,37,Female,$47464,$83591,1,"Bolt, Nut, Screw, Rivet Manufacturing"
234,8736,452821.37,51.83394803113553,805.16,42,Female,$37623,$923,6,Upholstery and Drapery Stores
235,8908,394454.69,44.28094858554109,1125.25,32,Female,$48676,$110589,4,Miscellaneous Metals
236,7701,639628.44,83.05784183872224,2255.48,36,Female,$161276,$317964,1,Airlines
237,5442,331772.57,60.96519110621095,1598.09,42,Male,$58584,$99235,2,Cruise Lines
240,7965,232957.09,29.247594475831765,981.04,50,Male,$34868,$51984,3,Hospitals
241,11803,417297.12,35.35517410827756,956.22,58,Female,$30605,$16549,5,Steel Products Manufacturing
242,8739,417644.82,47.79091658084449,1042.41,41,Male,$43560,$58544,5,"Brick, Stone, and Related Materials"
244,5264,222516.34,42.271341185410336,669.21,40,Female,$26802,$43444,2,Travel Agencies
246,6439,631322.75,98.04670756328622,2053.04,50,Female,$82298,$0,4,Steel Products Manufacturing
247,15122,1032728.62,68.29312392540669,1831.02,49,Female,$54587,$69070,6,Steelworks
248,5763,236527.29,41.04238938053098,631.69,80,Female,$13596,$352,4,Pottery and Ceramics
249,7701,286110.53,37.152386703025584,903.64,42,Female,$29835,$46702,7,Airlines
250,12125,460512.55,37.98041649484536,618.21,50,Female,$34671,$55643,6,"Brick, Stone, and Related Materials"
252,15534,540412.96,34.78904081369898,912.03,67,Male,$34985,$29409,6,Miscellaneous Metals
254,18011,1013481.36,56.27013269668536,1481.4,30,Male,$67589,$0,3,"Tools, Parts, Supplies Manufacturing"
256,11994,437107.83,36.44387443721861,1542.09,75,Male,$22850,$17453,6,Upholstery and Drapery Stores
257,8261,449791.15,54.447542670378894,1233.27,52,Male,$31070,$86747,4,Cruise Lines
260,4583,158969.36,34.68674667248527,1861.95,62,Male,$29110,$23504,3,Hospitals
261,11799,655100.21,55.521672175608096,1702.54,41,Male,$59093,$117325,5,Pottery and Ceramics
264,9270,377889.98,40.7648306364617,586.29,49,Male,$44303,$53407,1,Upholstery and Drapery Stores
265,8767,292078.63,33.31568723622676,1264.66,44,Female,$45497,$101549,3,Travel Agencies
267,4164,146258.25,35.12445965417867,768.9,61,Female,$27733,$21785,3,Travel Agencies
273,9502,467991.67,49.25191222900442,1025.21,42,Female,$37415,$66403,1,Steel Products Manufacturing
274,7590,431170.54,56.80771277997365,1269.19,43,Female,$48810,$0,3,"Brick, Stone, and Related Materials"
275,20183,1022720.94,50.67239458950602,939.58,43,Female,$76288,$120771,4,Pottery and Ceramics
277,11233,275542.72,24.529753405145552,1201.23,46,Male,$31739,$81905,5,Leather Goods
278,14250,1021394.57,71.67681192982455,5696.78,59,Male,$193768,$150896,5,Cruise Lines
280,9643,564613.02,58.55159390231256,1250.51,40,Female,$44585,$81825,5,Travel Agencies
282,8286,192333.57,23.211871832005794,719.51,42,Male,$25585,$59827,4,Airlines
285,32032,1615458.99,50.432660776723274,922.65,62,Male,$34496,$33122,5,Steel Drums and Barrels
286,6875,194142.89,28.23896581818182,1230.02,38,Male,$38223,$30756,4,Steelworks
287,9645,280829.88,29.116628304821152,1097.99,42,Female,$43181,$57199,3,Cruise Lines
291,16236,603663.75,37.180570953436806,794.52,64,Female,$40407,$62695,3,Pottery and Ceramics
293,9229,319726.12,34.64363636363636,992.87,32,Female,$42084,$57760,5,Steel Products Manufacturing
299,3707,187315.31,50.53016185594821,603.16,40,Male,$28229,$55675,5,Steel Products Manufacturing
300,6669,402393.6,60.33792172739541,1483.98,40,Male,$75711,$121251,1,"Tools, Parts, Supplies Manufacturing"
301,11350,368860.03,32.498681057268726,1310.39,47,Male,$52308,$135319,1,Coated and Laminated Products
303,17912,1304581.18,72.83280370701206,1198.96,94,Male,$60080,$1807,6,Department Stores
305,9811,238162.16,24.27501376006523,921.7,51,Male,$29388,$21221,3,Cruise Lines
311,5539,195124.35,35.22736053439249,650.24,46,Female,$29510,$47153,4,Steelworks
313,7514,236485.5,31.472651051370775,1265.67,32,Female,$33548,$31183,2,Hospitals
315,4144,165507.01,39.93895028957529,1064.78,54,Male,$42379,$136748,3,Leather Goods
316,9589,652509.68,68.0477296902701,901.16,36,Male,$39871,$73726,4,Miscellaneous Fabricated Metal Products
317,3244,174018.74,53.64326140567201,1150.58,67,Female,$19199,$15091,3,"Brick, Stone, and Related Materials"
319,7769,505355.72,65.04771785300554,946.0,67,Male,$28357,$10400,2,Airlines
320,4782,323947.33,67.74306357172732,828.15,34,Male,$35641,$64419,2,Steel Drums and Barrels
321,8078,263553.23,32.626049764793265,1237.2,52,Male,$40177,$47012,4,Cruise Lines
322,6134,120337.7,19.618144766873165,1049.73,47,Male,$28055,$12475,3,Miscellaneous Metals
323,17202,339381.36,19.729180327868853,2708.9,54,Male,$26696,$0,5,Cruise Lines
327,19990,868356.55,43.43954727363682,791.54,44,Male,$36843,$52248,5,Steel Products Manufacturing
328,8322,560067.14,67.299584234559,1399.61,45,Male,$36323,$65525,3,Miscellaneous Metals
329,16110,593060.16,36.81316945996276,1429.07,70,Male,$36724,$16437,4,"Tools, Parts, Supplies Manufacturing"
331,5466,234178.87,42.842822905232346,1464.29,34,Male,$29907,$16764,2,Cruise Lines
332,11148,370659.96,33.249009687836384,1133.81,61,Male,$37362,$21600,4,Travel Agencies
334,4153,231353.94,55.70766674692993,1258.91,44,Male,$40407,$25986,3,Cruise Lines
335,10221,624774.0,61.126504255943644,1303.86,46,Female,$56467,$66565,3,Cruise Lines
338,9114,496678.65,54.49623107307439,1265.07,68,Female,$50258,$0,3,Upholstery and Drapery Stores
343,9294,251225.37,27.030919948353777,1065.48,55,Female,$47643,$45706,8,Fabricated Structural Metal Products
345,5469,250825.09,45.863062717132934,1112.62,33,Male,$35499,$80517,1,Steel Drums and Barrels
346,8351,472149.35,56.53806131002275,1269.92,90,Female,$48580,$1785,7,Department Stores
348,5143,256197.24,49.81474625704841,635.85,49,Female,$46377,$79980,3,"Brick, Stone, and Related Materials"
349,11535,223509.0,19.376592977893367,1006.71,40,Female,$43229,$96831,2,Hospitals
350,11879,623401.8,52.47931644077785,1928.33,62,Female,$58463,$141151,4,Miscellaneous Metals
351,9111,269352.76,29.563468334979696,689.85,91,Female,$17150,$375,6,"Tools, Parts, Supplies Manufacturing"
354,10139,428627.03,42.27507939639018,1575.6,77,Female,$31942,$11845,6,Cruise Lines
356,17871,729005.56,40.79265625874322,614.88,50,Female,$41420,$0,5,Miscellaneous Metal Fabrication
357,10409,470526.57,45.203820732058794,1457.85,59,Female,$80156,$61817,4,Legal Services and Attorneys
359,10471,434092.15,41.456608728870215,3677.13,66,Male,$57383,$20725,4,Cruise Lines
360,15105,414988.15,27.473561734524992,1019.67,43,Male,$46278,$51243,4,Travel Agencies
361,6640,296104.63,44.59407078313253,891.87,43,Male,$39052,$65861,4,"Brick, Stone, and Related Materials"
362,11141,762767.63,68.46491607575622,1864.28,37,Male,$48710,$59824,3,Travel Agencies
363,9832,484363.95,49.264030716029296,1631.58,52,Female,$48686,$113137,3,Miscellaneous Fabricated Metal Products
364,12144,652617.3,53.73989624505929,853.9,65,Female,$39809,$0,4,Upholstery and Drapery Stores
366,15260,469057.89,30.737738532110093,1013.22,50,Female,$39911,$93823,7,Airlines
368,15469,561993.96,36.33033550972913,1670.09,75,Male,$42806,$20432,6,Cruise Lines
369,13159,879207.06,66.81412417356943,1295.92,39,Male,$51499,$7226,4,Legal Services and Attorneys
370,8203,261605.98,31.89150067048641,1075.92,61,Male,$41904,$12545,4,"Brick, Stone, and Related Materials"
371,18429,1345198.29,72.99355852189484,2146.32,82,Male,$92368,$2689,4,Department Stores
373,20391,406150.05,19.918103575106663,661.13,61,Male,$21397,$54771,4,Upholstery and Drapery Stores
374,7435,290929.79,39.12976328177538,1012.6,58,Male,$31177,$18859,5,"Tools, Parts, Supplies Manufacturing"
375,8529,263349.6,30.87696095673584,1276.13,50,Female,$37617,$57746,3,Floor Covering Stores
376,20749,881700.15,42.49362137934359,1322.91,50,Female,$57975,$34570,4,"Bolt, Nut, Screw, Rivet Manufacturing"
377,12979,694366.3,53.49921411510903,1414.44,80,Female,$39110,$363,5,Hospitals
379,23188,545331.89,23.517849318613077,1198.09,47,Female,$43496,$114563,3,Cruise Lines
380,10536,286617.1,27.20359719058466,1074.76,46,Male,$37857,$57727,2,Hospitals
383,6478,223248.74,34.46260265514047,787.29,48,Male,$34287,$77180,3,Floor Covering Stores
385,8824,273794.34,31.028370353581145,1217.51,79,Male,$30434,$23883,7,"Tools, Parts, Supplies Manufacturing"
386,16023,701049.3,43.75268676277851,1473.97,48,Male,$49967,$62509,1,Hospitals
387,5535,82655.36,14.933217705510389,495.0,34,Male,$45388,$64749,1,Travel Agencies
391,5272,233577.65,44.30532056145675,1303.66,85,Female,$35270,$1769,6,Cruise Lines
393,5767,223456.69,38.74747529044564,1150.35,41,Male,$32387,$65171,1,Hospitals
394,20250,662272.61,32.70482024691358,1008.37,52,Male,$69604,$47193,4,"Tools, Parts, Supplies Manufacturing"
395,7316,377819.42,51.642895024603604,1236.58,39,Male,$49611,$110543,4,Legal Services and Attorneys
397,9073,174990.7,19.286972335500938,706.89,30,Female,$20424,$14743,3,Steel Products Manufacturing
398,6044,303784.69,50.262192256783585,1680.43,49,Female,$37401,$76201,4,Leather Goods
400,5240,152123.98,29.031293893129774,1156.37,46,Female,$39770,$72827,4,Hospitals
401,14202,397522.73,27.990616110406982,2299.48,81,Male,$28644,$879,7,Cruise Lines
402,12157,561906.24,46.22079789421732,959.5,47,Male,$43954,$60913,3,Miscellaneous Metals
403,3998,227186.19,56.82495997999,1654.74,33,Male,$36496,$119670,1,Airlines
408,18777,1079323.11,57.48112637801566,981.64,58,Female,$31343,$49537,3,Hospitals
410,2269,92402.59,40.723926840017626,803.07,54,Female,$46956,$94340,2,Airlines
414,8253,860283.86,104.23892645098752,1625.34,45,Female,$112875,$44432,2,"Brick, Stone, and Related Materials"
415,7576,217522.14,28.712003695881734,1635.58,53,Male,$33729,$0,4,Cruise Lines
416,9440,219831.96,23.287283898305084,1148.98,86,Female,$38273,$1658,6,Fabricated Structural Metal Products
419,12205,351684.34,28.814775911511678,1287.84,60,Male,$33540,$74530,5,"Brick, Stone, and Related Materials"
421,18599,581363.45,31.257779988171404,1901.78,53,Female,$45876,$58252,7,Cruise Lines
425,20808,752212.0,36.15013456362937,1574.63,38,Male,$59482,$130605,4,"Tools, Parts, Supplies Manufacturing"
427,6869,262772.11,38.25478381132625,1256.85,44,Female,$32527,$74331,3,Upholstery and Drapery Stores
428,10023,538307.19,53.70719245734809,1228.8,39,Male,$56486,$116394,2,Music Stores - Musical Instruments
430,20998,1109182.94,52.82326602533574,1291.01,52,Female,$53350,$128676,5,Steel Products Manufacturing
432,8862,469384.61,52.965990747009705,656.88,55,Female,$26546,$32087,5,"Tools, Parts, Supplies Manufacturing"
433,11045,419151.17,37.949404255319145,990.02,49,Male,$31957,$12347,6,Upholstery and Drapery Stores
434,8708,421063.88,48.35368396876436,1281.31,31,Female,$53395,$73370,3,Department Stores
437,9333,528565.76,56.63406835958427,1571.13,46,Female,$72670,$28915,3,Leather Goods
438,4670,174000.31,37.2591670235546,835.27,32,Female,$34034,$55846,2,Hospitals
441,8412,347020.46,41.253026628625776,1207.72,41,Female,$46108,$64994,1,Hospitals
442,13970,674090.0,48.25268432355047,2093.73,47,Male,$48600,$23992,5,Hospitals
447,7873,235755.45,29.94480502984885,1054.2,79,Male,$30977,$21507,5,Pottery and Ceramics
449,8786,338883.46,38.57084680173003,1405.46,58,Female,$39796,$9452,5,Cruise Lines
450,8080,408358.97,50.53947648514851,984.02,39,Male,$43192,$33517,3,Airlines
451,6672,315033.09,47.21718974820144,679.02,65,Male,$28951,$56777,2,"Tools, Parts, Supplies Manufacturing"
452,15225,799636.15,52.521257799671595,1870.29,31,Male,$63356,$140107,5,Fabricated Structural Metal Products
455,6797,429302.12,63.16052964543181,1336.38,41,Female,$49776,$17352,3,Pottery and Ceramics
456,14180,531070.58,37.45208603667137,1974.54,54,Male,$34947,$49024,3,Cruise Lines
457,8801,647690.2,73.59279627315077,994.71,34,Female,$36324,$56689,4,Steelworks
458,3938,355090.63,90.1702971051295,1519.38,46,Male,$49068,$123937,2,Steelworks
459,7790,314995.28,40.435851091142496,828.91,65,Male,$25257,$83995,6,Steel Products Manufacturing
460,12158,616962.6,50.74540220430992,1839.16,65,Male,$40957,$64144,4,Household Appliance Stores
461,20994,775510.45,36.939623225683526,2554.95,42,Female,$65403,$80057,4,Cruise Lines
462,10288,564389.36,54.85899688958009,3104.71,63,Female,$50696,$32793,5,Cruise Lines
464,27619,1882901.35,68.17413193815852,842.39,36,Male,$67444,$93513,1,Fabricated Structural Metal Products
465,6317,223897.47,35.443639385784394,1002.4,47,Male,$41965,$55700,2,Coated and Laminated Products
467,11497,398650.33,34.67429155431852,535.52,38,Male,$44831,$20906,3,Airlines
468,8001,325511.87,40.68389826271716,1131.6,48,Female,$47374,$35312,2,Hospitals
